test_Tre.        test_AddUnit     DEBUG		
test_Tre.        test_AddUnit     DEBUG		
test_Tre.        test_AddUnit     DEBUG		starting test_AddUnit
    Tree.             getNode     DEBUG		current: <Element V at 163e930>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element U at 163e9c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e240>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element _ at 163e840>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163ea20>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163e270>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element V at 163e930>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e240>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element _ at 163e840>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e240>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e240>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163e660>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163eb70>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e240>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163e660>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 163e720>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163eb70>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 163e960>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e240>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163e660>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163eb70>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element Y at 163eea0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163ee40>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element Y at 163eea0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163ee10>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163ee40>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element Y at 163eea0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element V at 163ef60>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element _ at 1644030>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element V at 163ef60>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element U at 16440c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element _ at 1644030>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 1644120>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163edb0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element V at 163ef60>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element _ at 163ef60>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163ee40>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163eea0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163ee40>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 163ecf0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163eea0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 163ec90>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163ed50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163ee40>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e150>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element _ at 163eea0>
    Tree.             getNode     DEBUG		index: 2
test_Tre.test_ComplexTrees_Un     DEBUG		
test_Tre.test_ComplexTrees_Un     DEBUG		
test_Tre.test_ComplexTrees_Un     DEBUG		starting test_ComplexTrees_UnequalStructures
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 163ecc0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163eab0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 163ecc0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 163ebd0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163eab0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 163ecc0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163eab0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e300>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1, 3, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e300>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element f at 163ef00>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163ea50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163e9f0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e300>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163eab0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e930>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163eab0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element g at 163ee70>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e930>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element g at 163e900>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163eab0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e930>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e510>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e870>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e510>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element f at 163e7b0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e870>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element f at 163e6f0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e810>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e510>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e870>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 163e210>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e3c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 163e210>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 163e360>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e3c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 163e210>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e3c0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 1625c00>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1, 3, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 1625c00>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element f at 1625d50>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 1625de0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 2]
    Tree.             getNode     DEBUG		current: <Element a at 163e420>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 1625c00>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e3c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e930>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e3c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element g at 163e090>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e930>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element g at 163e900>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e3c0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element e at 163e930>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1, 3]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 1625f60>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e870>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e1e0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element f at 1625f00>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 1, 1]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e870>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element f at 163e0c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 3, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e4b0>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e3c0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 3, 2]
    Tree.             getNode     DEBUG		current: <Element c at 163e690>
    Tree.             getNode     DEBUG		index: 3
    Tree.             getNode     DEBUG		current: <Element e at 163e870>
    Tree.             getNode     DEBUG		index: 2
test_Tre.test_SimpleTrees_Equ     DEBUG		
test_Tre.test_SimpleTrees_Equ     DEBUG		
test_Tre.test_SimpleTrees_Equ     DEBUG		starting test_SimpleTrees_EqualStructures
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element d at 163ea80>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element e at 163ef30>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element e at 163ef30>
    Tree.             getNode     DEBUG		index: 1
